,Tile,URL,Views,Thumbnail_url
0,Chal Chalein Kahin Duur - Official Music Video | Samira Koppikar,https://www.youtube.com/watch?v=R2sXa2bQors,7.5K views,https://i.ytimg.com/vi/R2sXa2bQors/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB7vLZ5t2iPbXpMPpGT7qm41Q2Taw
1,Tarkeebein - Lyrical | Girta Tootâ€™ta Dil | Harry Arora,https://www.youtube.com/watch?v=-xU-K781Slo,6.9K views,https://i.ytimg.com/vi/-xU-K781Slo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCaBPdjs8jUjaLWka2v8CbyhH6jeA
2,Saahibaan - Official Music Video | Pallavi Ishpuniyani,https://www.youtube.com/watch?v=gN0OtL5Lhic,23K views,https://i.ytimg.com/vi/gN0OtL5Lhic/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDGTwQQeuw1ukma7rFpwEXi5f6-mQ
3,Mayeni Meriye - Official Music Video | Priyanka Negi | Gunjan Dangwal,https://www.youtube.com/watch?v=5-oE2HVjgv0,906K views,https://i.ytimg.com/vi/5-oE2HVjgv0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDf8oOn3ErPHt37ilMHr3pdu6-d2Q
4,Teri Hogaiyaan 2 - Sidharth Shukla & Sonia Rathee | Broken But Beautiful 3 | Vishal Mishra | Lyrical,https://www.youtube.com/watch?v=vddtxbn0-ZA,41K views,https://i.ytimg.com/vi/vddtxbn0-ZA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB6jxT8Yakh4R0rDTv5sy2L1cm0GQ
5,Sunny Deol & Ameesha Patel | Gadar Moments | Zee Cine Awards 2023,https://www.youtube.com/watch?v=7NiKbUVc5Q0,632K views,https://i.ytimg.com/vi/7NiKbUVc5Q0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAPM7R5G6sYpb75Bp6C-sXXbY0-iQ
6,Varun Dhawan | Apna Bana Le | Zee Cine Awards 2023,https://www.youtube.com/watch?v=PGpzHbMy834,51K views,https://i.ytimg.com/vi/PGpzHbMy834/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBMaxGiy2Bty7UBX9cf0l76YnnNjg
7,"Tenu Na Bol Pawaan - Asees Kaur | Rajkummar Rao, Shruti H | Behen Hogi Teri | Amjad Nadeem | Lyrical",https://www.youtube.com/watch?v=b8GgyRynjm8,46K views,https://i.ytimg.com/vi/b8GgyRynjm8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAKjIITFX_7dKVmH3fntPBZ5pIofQ
8,Dil Nu Laggeya - Official Music Video | Samira Koppikar | Sahib,https://www.youtube.com/watch?v=L3gQjCYNAD8,8.5K views,https://i.ytimg.com/vi/L3gQjCYNAD8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB8-DlXeSE8ItYtzf3QEl16J0PAmA
9,Aa Kar Le Khurapaat | Nato Is Here | Nato,https://www.youtube.com/watch?v=cCfjxXR8YSc,4.6K views,https://i.ytimg.com/vi/cCfjxXR8YSc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAiii_seGf0L7nnXmvovwt4uDbExA
